2016-12-05 15:32:30 - PHP Notice:  Error: Incorrect table name ''<br />Error No: 1103<br />SELECT * FROM ``oc_product`` WHERE (`oc_product`.`sku`='')  LIMIT 1 in D:\Development\WebServers\OpenServer\domains\opencart-x.com\system\library\db\mysqli.php on line 41
2016-12-05 15:32:30 - PHP Notice:  Trying to get property of non-object in D:\Development\WebServers\OpenServer\domains\opencart-x.com\system\library\db\QueryBuilder\Operations\Select.php on line 34
2016-12-05 15:36:49 - PHP Notice:  Error: Incorrect table name ''<br />Error No: 1103<br />SHOW KEYS FROM ``oc_product`` WHERE Key_name = 'PRIMARY' in D:\Development\WebServers\OpenServer\domains\opencart-x.com\system\library\db\mysqli.php on line 41
2016-12-05 15:36:49 - PHP Notice:  Trying to get property of non-object in D:\Development\WebServers\OpenServer\domains\opencart-x.com\system\library\db\QueryBuilder\Common\SchemaAnalyzer.php on line 18
2016-12-05 15:36:49 - PHP Notice:  Error: Unknown column 'oc_product.' in 'where clause'<br />Error No: 1054<br />SELECT * FROM `oc_product` WHERE (`oc_product`.``='28')   in D:\Development\WebServers\OpenServer\domains\opencart-x.com\system\library\db\mysqli.php on line 41
2016-12-05 15:36:49 - PHP Notice:  Trying to get property of non-object in D:\Development\WebServers\OpenServer\domains\opencart-x.com\system\library\db\QueryBuilder\Operations\Select.php on line 34
2016-12-06 14:26:55 - PHP Notice:  Error: Table 'opencart_x.oc_test' doesn't exist<br />Error No: 1146<br />CALL get_tree(27) in D:\Development\WebServers\OpenServer\domains\opencart-x.com\system\library\db\mysqli.php on line 70
2016-12-06 14:26:55 - PHP Notice:  Trying to get property of non-object in D:\Development\WebServers\OpenServer\domains\opencart-x.com\catalog\controller\common\test.php on line 64
2016-12-07 14:41:12 - PHP Warning:  mysqli::real_escape_string() expects parameter 1 to be string, array given in D:\Development\WebServers\OpenServer\domains\opencart-x.com\system\library\db\mysqli.php on line 75
2016-12-07 14:41:12 - PHP Warning:  mysqli::real_escape_string() expects parameter 1 to be string, array given in D:\Development\WebServers\OpenServer\domains\opencart-x.com\system\library\db\mysqli.php on line 75
2016-12-07 14:41:12 - PHP Notice:  Error: Unknown column 'oc_test.0' in 'field list'<br />Error No: 1054<br />INSERT INTO `oc_test` SET `oc_test`.`0`='',`oc_test`.`1`='' in D:\Development\WebServers\OpenServer\domains\opencart-x.com\system\library\db\mysqli.php on line 41
2016-12-07 14:42:37 - PHP Warning:  mysqli::real_escape_string() expects parameter 1 to be string, array given in D:\Development\WebServers\OpenServer\domains\opencart-x.com\system\library\db\mysqli.php on line 75
2016-12-07 14:42:37 - PHP Warning:  mysqli::real_escape_string() expects parameter 1 to be string, array given in D:\Development\WebServers\OpenServer\domains\opencart-x.com\system\library\db\mysqli.php on line 75
2016-12-07 14:42:37 - PHP Notice:  Error: Unknown column 'oc_test.0' in 'field list'<br />Error No: 1054<br />INSERT INTO `oc_test` SET `oc_test`.`0`='',`oc_test`.`1`='' in D:\Development\WebServers\OpenServer\domains\opencart-x.com\system\library\db\mysqli.php on line 41
2016-12-07 14:44:10 - PHP Warning:  mysqli::real_escape_string() expects parameter 1 to be string, array given in D:\Development\WebServers\OpenServer\domains\opencart-x.com\system\library\db\mysqli.php on line 75
2016-12-07 14:44:10 - PHP Warning:  mysqli::real_escape_string() expects parameter 1 to be string, array given in D:\Development\WebServers\OpenServer\domains\opencart-x.com\system\library\db\mysqli.php on line 75
2016-12-07 14:44:10 - PHP Notice:  Error: Unknown column 'oc_test.0' in 'field list'<br />Error No: 1054<br />INSERT INTO `oc_test` SET `oc_test`.`0`='',`oc_test`.`1`='' in D:\Development\WebServers\OpenServer\domains\opencart-x.com\system\library\db\mysqli.php on line 41
2016-12-07 14:45:53 - PHP Warning:  mysqli::real_escape_string() expects parameter 1 to be string, array given in D:\Development\WebServers\OpenServer\domains\opencart-x.com\system\library\db\mysqli.php on line 75
2016-12-07 14:45:53 - PHP Warning:  mysqli::real_escape_string() expects parameter 1 to be string, array given in D:\Development\WebServers\OpenServer\domains\opencart-x.com\system\library\db\mysqli.php on line 75
2016-12-07 14:46:41 - PHP Warning:  mysqli::real_escape_string() expects parameter 1 to be string, array given in D:\Development\WebServers\OpenServer\domains\opencart-x.com\system\library\db\mysqli.php on line 75
2016-12-07 14:46:41 - PHP Warning:  mysqli::real_escape_string() expects parameter 1 to be string, array given in D:\Development\WebServers\OpenServer\domains\opencart-x.com\system\library\db\mysqli.php on line 75
2016-12-07 14:46:41 - PHP Notice:  Error: Unknown column 'oc_test.0' in 'field list'<br />Error No: 1054<br />INSERT INTO `oc_test` SET `oc_test`.`0`='',`oc_test`.`1`='' in D:\Development\WebServers\OpenServer\domains\opencart-x.com\system\library\db\mysqli.php on line 41
